url,question_title,question_text,followers,views,likes,topics1,topics2,topics3,topics4
https://www.zhihu.com/question/451884375,身体差，怎么调理锻炼？,这两年不知道怎么的，不知道工作压力大还是什么经常晚睡，身体越来越差，经常感冒，感冒没一个月都好不了，最近发现青霉素，破伤风都过敏了，之前都能打的，现在…,8,0,1, 调理, 养身健身,,
https://www.zhihu.com/question/632114060,十岁的姐姐是父母的掌中宝她孱弱的身体?,这是哪篇文章怎么看不到了,1,0,0, 养身健身, 姐姐,,
https://www.zhihu.com/question/31619541,我低血压，还贫血，最近健身，刚刚正在运动突然头晕恶心，应该怎么办？停止健身还是用其他方法缓解身体不适？,低血压 贫血 健身,4,2,0, 养身健身,,,
https://www.zhihu.com/question/31004388,打球扭到腰了，现在有点腰肌劳损，该如何恢复？,腰肌劳损恢复锻炼。,7,4,3, 腰肌劳损, 养身健身,,
https://www.zhihu.com/question/265942132,请问家用血氧仪哪个牌子好？,给家里老人用，测脉搏,5,2,2, 养身健身, 血氧饱和度,,
https://www.zhihu.com/question/30574833,感觉自己精力太差怎么办?,总是很累的感觉，记忆力也差，没有活力,1,5,1, 养身健身,,,
https://www.zhihu.com/question/619394862,锻炼身体坚持了三个多月，想休息几天不锻炼好不好?,"一周五炼必较好。
昨年我化六个月天天力量训练，最后坚持那天猛的完成平时超一倍的任务，第二日测臀围小了2cm。
慢慢来，不急，也许是另一个最佳状态。皮质醇分泌反低，付出不如那么多，收益也许反而更高。",1,0,0, 锻炼, 养身健身, 跳绳 健身, 下班去运动
https://www.zhihu.com/question/53830459,为什么练健美或者练的身材好的男女性都法令纹深重？,为什么练的好的男神女神 健美的健体的 无论身材再好 脸部鼻唇沟 法令纹特别深。我是女生 当然想要脸部胶原蛋白满满的感觉这样比较减龄 可是越练鼻唇沟越深…,5,1,9, 健身, 调查类问题, 养身健身, 美容健身
https://www.zhihu.com/question/491130933,长期坚持晚上健身身体会有什么变化？,"谢邀。
工作一年，毕业前都是学校健身房下午和晚上撸铁。
工作后耽搁了，最近才捡起来，从上班浑浑噩噩到精神抖擞效果还是很明显的。
分享一下毕业前的照片库：
高中到本科健身前，大概都是这个亚子，路上风大了就到大个子的背后躲躲……
瘦子本身体脂率低，俯卧撑、徒手深蹲坚持了几天就发现全身硬邦邦了。坚持两个月，胸部微微鼓起二次发育……
后来一跺脚自己去了学校健身房，也是一边瞎练，一边做攻略，把器材熟悉了一遍。
然后，就过上了没羞没臊的撸铁日子


有一段时间了，这天去的早，都没几个人，日常摆拍


应该是膨胀了，摆拍动作逐渐骚气




健身初衷就是奔着打篮球去的，穿个红色短裤也不过分叭


挑战人体旗帜，其实是失败了，全靠摄影师抓拍，腰疼了好几天


这一天，腹肌冒出来了，害羞害羞☺️


体验还是很不错的的，尤其是晚上裸睡的时候习惯性摸着胸……当然这个是不可能有图的


然后是户外的摆拍
中国科技馆




雨中的长城




泡温泉被搭讪了，哥们你能打几个


身高175-
本人的健身只是小打小闹，比不上常年撸铁的。体重从100+到了125，最高达到130-，后来各种原",3,4,1, 健身技术, 养身健身,,
https://www.zhihu.com/question/623807598,健身不就是让身体保持健康，那些痴迷健身，或者说痴迷身体塑形的人，他们的动力来源是什么？,"但凡步入健身领域，并且能够坚持下去的，健身心理与目标都会有一部分的变化。
如果是运动员（包括健美），我理解这属于职业，都不能算是健身。
或许是进化赋予人类的野心，也或许是大脑中多巴胺的鞭笞~
以我个人为例，健身心路历程其实也足够……多样化：追求健康->追求塑型（腹肌/胸肌）->追求增肌->……
一开始健身目标很清晰，减脂，其实就是为了健康。
某些意义上来说，肥胖已经是健康的边缘了，或者说是亚健康。如果让肥胖继续下去，体检报告就会给予灵魂一击：血压偏高、血脂偏高、尿酸偏高、脂肪肝……
我大概算是悬崖勒马，彼时血压已在高血压临界点；突如其来的晕厥，逼迫我立刻采取行动。
健身一段时间之后，减脂略有小成，腹肌居然隐约可见。
问题来了：健康不好量化，但腹肌肉眼可见。而人类，总是更愿意去追求“看得到”的目标。
换言之，虽然腹肌只是追求健康过程中的副产物，接下来反而成为了健身的主要动力，哪个汉子不想拥有六块或者八块腹肌呢？
当腹肌更为清晰之后，每每照镜子总略显不足……后来才发现，原来是胸肌不够饱满~，配不上这线",1,5,0, 健身, 身体健康, 养身健身, 健身塑形
https://www.zhihu.com/question/540207387,看上去比较虚弱，易感疲惫的人如何健壮起来?,1.身高158，体重98，23周岁。不算很瘦，但给人的感觉很虚。肉也是很松软的，一点也不结实。 2.有慢病（类风湿性关节炎），长期服药 3.类风湿导致…,4,8,0, 养生, 身体, 慢性病, 养身健身
https://www.zhihu.com/question/617440651,下班后是「躺平」好还是锻炼身体好？,"其实人人都知道，锻炼身体当然是好事，锻炼身体能够保持体型，减脂塑形，提高身体素质，强健体魄，改善心血管健康，提升心肺能力，改善睡眠，等等等等，谁都知道锻炼身体好，但是为什么还会有此疑问呢？
因为锻炼身体虽好，但是很多人做不到，宁愿躺平。
但是不是什么情况下锻炼身体都一定好呢？那肯定不是，锻炼身体也需要好的身体状态和时机。
所以下班后是躺平好还是锻炼身体好，我个人觉得首先随身所欲，身体劳累疲惫，需要休息，那就躺平，因为身体状态不好的时候锻炼身体可能适得其反，甚至有害无益。
如果身体身体不累，精神尚可，如果你想，你就可以锻炼，如果不想，那也不必勉强自己。
因为锻不锻炼，最重要还是取决于自己的内心，如果你本身并不想锻炼而勉强自己去，可能也是徒劳无功，也无法长期坚持下去。
最重要的是，很多锻炼身体的动作也是有标准的，错误的动作可能不但起不到锻炼效果反而可能令自己受伤，得不偿失。
在健身五要素里，有一个看起来与健身本身无关但是非常重要的元素，那就是享受乐趣！
健身锻炼本身对于那些不喜欢锻炼，没有锻炼习惯",1,0,2, 运动, 养身健身, 下班去运动,
https://www.zhihu.com/question/455209686,倒立养生真的好吗？,现在网上经常讨论各种养生方法，有网友说倒立养生效果非常好！我现每天开始尝试学习各种倒立方法，望大家指点一下！,2,1,1, 倒立, 养身健身,,
https://www.zhihu.com/question/494688231,身体羸弱，而且性格有点怂！是选择健身还是拳击呢?,我想改变一下自己,1,3,4, 拳击, 养身健身,,
https://www.zhihu.com/question/31938380,小腿抽筋怎么办？,"



小腿抽筋怎么办？快速止痛是关键！！
方法一︰
改卧为坐，伸直抽筋的腿，用手紧握前脚掌，忍着剧痛，向外侧旋转抽筋的那条腿的踝关节，剧痛立止。
旋转时动作要连贯，一口气转完一周，中间不能停顿。旋转时，如是左腿，按逆时针方向；如是右腿，按顺时针方向。如有人帮助，应是面对面施治，踝关节的旋转方向不变。旋转时要用力，脚掌上翘要达到最大限度。
方法二︰
按压小腿腓肠肌头神经根。在膝关节内侧的两边， 有一个地方是腓肠肌头的附着点，通往腓肠肌的神经根就在这里面。小腿抽筋时，用大拇指摸索两边硬而突起的肌肉的主根，然后用强力对此处按压，主导兴奋的神经就会镇静下来，抽筋停止，剧痛消失。以上二法效果神速。
如果是游泳时抽筋，采用以上两法止痛在操作手法上有一定困难。因此，游泳时抽筋可采用手使劲往身体方向扳脚拇趾的方法。
扳拇趾时，大腿要尽量向前伸直，同时脚跟向前蹬。扳一次往往难以见效，可反复进行，直至症状缓解为止。当然，每扳一次，必须是先深吸一口气，潜入水中。预防小腿抽筋的方法比较简单，活动前、活动中小休，活动后、游",3,3,3, 户外运动, 运动损伤, 养身健身, 养生塑形
https://www.zhihu.com/question/394465920,潘肖钰养生是真的吗?,恰好最近也有同学问大叔，大叔看过同学推荐过来的链接，不愧是公共关系学的教授，营销做的非常棒，至于中医知识这个大叔不敢断言，也看了她介绍的养生食疗，怎么说呢基本都是应用比较广泛的方子，没有什么新奇之处，养生过度包装了不一定是好事，简单的事搞复杂了。,2,0,3, 养生论坛, 养身, 养身健身, 美容养生
https://www.zhihu.com/question/24033523,让你乐在其中健身器材有哪些？,"对懒人来讲，医院就是健身房，医生就是教练，手术室就是私教工作室，手术刀就是适合你们的健身器械。
自己选择是继续懒下去，还是做个积极生活，热爱运动的人。",2,0,0, 健身, 健身器材, 养身健身,
https://www.zhihu.com/question/632589741,把十步一个的大药房换成十步一个的健身房，未来会更好吗?,"把十步一个的大药房换成十步一个的健身房,我们的社会会不会更有未来,我们的孩子如果不把锻炼的时间都用在写作业上,我们的民族会不会有更好的未来!",1,9,4, 教育, 民族, 医疗, 养身健身
https://www.zhihu.com/question/630254205,为什么一段时间不锻炼身体反而更舒服了？,身体状态变好了，柔韧性也增加了，也不涨痘了,3,7,0, 身体健康, 身体, 舒服, 养身健身
https://www.zhihu.com/question/522609635,锻炼身体是早上好还是晚上好，为什么？,"锻炼身体很重要，但肯定不是每天优先级最高的任务，当你完成优先级最高的事务，剩下有时间再去做，因此取决于你有没有时间，而不是什么时间点，因为什么时间点锻炼效果都差不多。
好好休息比锻炼身体优先级更高，要分得清事情的轻重缓急，不要因为一时热血而过度锻炼，过度锻炼只会造成反效果。",1,0,0, 锻炼, 身体健康, 养身健身, 跳绳 健身
https://www.zhihu.com/question/442383022,一白一夜休两天的工作，十二个小时，常年这么上身体会怎样？,大家好，我是2020年的应届生，因为专业原因，可能工作就是去化学公司或者化工厂。毕业前有公司打电话，待遇也还行，就是说今个一个白班，明晚一个通宵夜班，…,9,1,4, 亚健康, 身体健康, 工作, 养身健身
https://www.zhihu.com/question/43346259,健身餐外卖怎么推广，怎么和健身房达到互利合作？,健身餐外卖怎么做更专业？更能盈利？更能保证质量与走量？与健身房应该以什么方式合作最好呢？,1,0,2, 运动减肥, 养身健身, 健身与减脂, 健身补剂
https://www.zhihu.com/question/43176355,闭眼单腿站立的原理和相关医学知识是什么？,中医总被黑是因为这个行当太好滥竽充数！ 中西医理论截然不同 金融机构从业 ，试了一下，闭眼单腿，立马可以倒好嘛？！？！？！怎么办，求助大大们(ಥ_ಥ),8,0,4, 中医, 医学, 中医养生, 养身健身
